"","unit","timestamp","sensor","genotype","g_alias","treatment","3D Leaf Area mm²","Canopy Light Penetration Depth mm","Convex Hull Area Coverage %","Convex Hull Area mm²","Convex Hull Aspect Ratio","Convex Hull Circumference mm","Convex Hull Maximum Width mm","Digital Biomass mm³","GLI Average","GLI [-0.2:0] %","GLI [-1:-0.2] %","GLI [0.15:0.3] %","GLI [0.3:0.6] %","GLI [0.6:1] %","GLI [0:0.15] %","Hue Average °","Hue [0:25] %","Hue [100:125] %","Hue [125:360] %","Hue [25:50] %","Hue [50:75] %","Hue [75:100] %","Lightness Average %","Lightness [0:0] %","Lightness [0:25] %","Lightness [100:100] %","Lightness [25:50] %","Lightness [50:75] %","Lightness [75:100] %","NA NA","NDVI Average","NDVI [-1:0] %","NDVI [0.15:0.3] %","NDVI [0.3:0.45] %","NDVI [0.45:0.6] %","NDVI [0.6:1] %","NDVI [0:0.15] %","NPCI Average","NPCI [-0.2:0] %","NPCI [-1:-0.2] %","NPCI [0.2:0.4] %","NPCI [0.4:0.6] %","NPCI [0.6:1] %","NPCI [0:0.2] %","PSRI Average","PSRI [-0.2:0] %","PSRI [-0.4:-0.2] %","PSRI [-0.8:-0.4] %","PSRI [-4:-0.8] %","PSRI [0.2:4] %","PSRI [0:0.2] %","Plant Height Averaged mm","Plant Height Max mm","Projected Leaf Area mm²","Saturation Average %","Saturation [0:0] %","Saturation [0:25] %","Saturation [100:100] %","Saturation [25:50] %","Saturation [50:75] %","Saturation [75:100] %","Surface Angle Average °","Voxel Volume Total mm³"
"11","12:1:1",2022-12-02 16:45:02,"A","potato","potato","n/a",19854.2,145.739,74.6443,20730.3,71.7088,560.042,203.688,3059890,0.0867192,8.42037,10.3688,41.9238,9.64969,0.595829,29.0415,128.355,5.95487,14.4814,64.8735,3.21542,4.29066,7.18419,4.9947,0,99.9281,0,0.0719104,0,0,2.58809,0.596512,1.68133,6.12951,7.7903,16.7757,65.6474,1.97582,0.00872447,44.5126,16.0908,9.69763,4.87964,3.68455,21.1348,0.0264385,59.0248,1.11975,0.308188,0.0993049,11.6255,27.8225,154.118,164.243,15474,32.6781,0,42.0471,4.4516,44.3139,7.37938,1.80803,51.1794,29203
"12","12:1:1",2022-12-02 16:47:28,"A","potato","potato","n/a",19964.2,146.016,76.3307,20525.4,71.6198,556.366,200.978,3075200,0.0823975,8.21501,11.0108,41.7309,9.6856,0.534145,28.8235,128.726,6.22042,14.236,65.098,2.90061,4.18864,7.35632,4.96209,0,99.9425,0,0.0574713,0,0,0.185992,0.596274,1.68695,6.40298,7.79581,16.6531,65.4733,1.98783,0.00704675,44.094,16.6024,9.51995,4.57404,3.83705,21.3725,0.0264422,59.1447,1.05815,0.348208,0.0777552,11.6937,27.6775,154.036,164.308,15667.2,33.0172,0,41.545,4.75659,44.476,7.46788,1.75456,51.6727,29580
"13","12:1:1",2022-12-05 10:47:53,"A","potato","potato","n/a",22032.5,173.391,71.118,24118.8,64.8209,617.834,223.657,4064220,0.107199,8.16435,7.65115,42.5147,8.59932,0.466266,32.6042,132.063,5.27288,11.9915,67.6117,4.4217,4.33408,6.36813,5.15037,0,99.9906,0,0.00938791,0,0,19.3017,0.600608,1.44887,6.76868,7.46339,15.4807,66.7042,2.13418,-0.00116449,45.3561,18.7821,8.60558,6.24922,4.00238,17.0046,0.0271328,63.0836,0.788584,0.200275,0.0406809,13.3183,22.5685,184.464,206.199,17152.8,31.8923,0,42.2299,2.76005,44.6645,8.73388,1.61159,51.0954,31956
"14","12:1:1",2022-12-05 10:50:31,"A","potato","potato","n/a",22222.3,172.909,70.3205,24678.4,65.2174,622.61,225.957,4102930,0.107388,8.09904,7.44664,43.2819,8.35689,0.444251,32.3713,133.36,5.08248,11.8581,68.5265,4.58852,4.13185,5.81254,5.20968,0,99.9814,0,0.0186399,0,0,0.277199,0.601604,1.46945,6.71969,7.48082,15.1356,67.054,2.14048,-0.00595247,45.7237,19.2115,8.36,6.32825,3.72798,16.6485,0.0249159,63.7827,0.841902,0.226786,0.0559197,13.0573,22.0355,184.631,205.399,17354,31.7826,0,42.294,2.59716,44.7389,8.73901,1.63099,51.3152,32189
"15","12:1:1",2022-12-06 10:44:27,"A","potato","potato","n/a",18872,177.417,71.1579,20488.3,69.4655,570.512,220.22,3743130,0.112218,6.68461,7.79386,44.0719,10.8125,0.570992,30.0662,127.963,4.89526,14.2312,63.802,5.12074,4.71705,7.23378,4.92224,0,100,0,0,0,0,0.218348,0.596182,1.88391,6.6446,6.6446,15.8241,66.1333,2.86951,0.0156053,44.7992,16.9188,7.85205,6.46276,5.23713,18.73,0.0392313,60.6561,0.811027,0.149113,0.0472796,13.7693,24.5672,198.343,216.199,14579.1,33.5428,0,39.6349,3.81146,44.2319,10.4415,1.88027,50.5597,27496
"16","12:1:1",2022-12-06 10:46:45,"A","potato","potato","n/a",19678.9,174.535,70.6937,21319.3,69.0997,579.72,224.601,3893930,0.114635,6.89509,7.36041,45.019,10.2616,0.518189,29.9457,129.595,4.58263,14.118,64.7807,4.52623,4.79413,7.19825,4.98365,0,100,0,0,0,0,0.210338,0.59926,1.685,6.54963,6.38748,16.1309,66.5362,2.7108,0.0064248,45.4279,17.2448,7.91737,5.90102,4.66018,18.8487,0.0321535,61.4671,0.937676,0.17978,0.0599267,12.8737,24.4818,197.873,216.599,15071.4,32.781,0,40.3166,3.37352,45.0754,9.65525,1.57924,49.961,28368
"17","12:1:1",2022-12-07 10:24:56,"A","potato","potato","n/a",19208.2,168.581,69.6048,21777.9,67.9826,588.29,232.762,3887370,0.119116,7.06111,6.43942,46.2345,8.32568,0.522783,31.4165,132.555,4.66266,13.5535,67.4815,5.05122,3.97739,5.27376,5.13814,0,100,0,0,0,0,0.233504,0.604216,1.69905,6.78206,5.82833,14.3554,68.8838,2.45143,-0.00542866,47.7746,18.2303,6.19922,5.58107,5.00177,17.213,0.0299171,65.083,0.63935,0.180148,0.0741787,13.0519,20.9714,202.381,220.599,15158.5,32.1151,0,41.6319,2.92476,45.1678,8.38573,1.88979,52.0829,28310
"18","12:1:1",2022-12-07 10:27:20,"A","potato","potato","n/a",19908.3,168.958,68.9624,22576.3,69.9892,591.687,232.391,4023950,0.11866,7.03777,6.3558,46.7096,8.12822,0.398103,31.3705,133.332,4.81185,12.9747,68.4529,4.86724,3.93603,4.95725,5.16437,0,100,0,0,0,0,0.211408,0.604746,1.78627,6.93392,5.68768,13.8748,69.3253,2.39208,-0.0112406,47.5577,19.4136,6.32118,5.52498,4.73569,16.4468,0.0285506,65.9051,0.761588,0.17655,0.0657735,12.947,20.144,202.124,220.599,15569.2,31.9711,0,40.9561,2.67248,46.1419,8.62672,1.6028,51.4226,28887
"19","12:1:1",2022-12-08 10:22:45,"A","potato","potato","n/a",20465.3,171.957,66.8963,24481.6,68.1723,603.236,234.842,4388520,0.114459,6.06561,7.75284,48.5378,9.56961,0.547298,27.5268,136.345,4.89005,13.7245,71.3106,3.08948,2.46446,4.52087,4.84392,0,99.9968,0,0.00323845,0,0,0.209929,0.623591,1.76172,5.36287,4.89005,11.49,74.1054,2.38997,-0.0342099,49.9304,19.8582,5.35963,3.65945,3.90881,17.2836,0.0113593,68.1175,1.15289,0.288222,0.119823,9.65705,20.6645,214.438,229.399,16377.3,32.685,0,38.5472,4.22293,49.3766,6.35383,1.4994,53.1246,30879
"20","12:1:1",2022-12-08 10:25:07,"A","potato","potato","n/a",20431.3,176.988,67.5106,24465.2,68.1074,603.249,235.393,4381300,0.113852,6.16782,7.93052,48.4117,9.47567,0.572635,27.4417,136.134,4.91698,13.4905,71.2691,3.00074,2.59125,4.73144,4.85566,0,99.9968,0,0.00319908,0,0,0.240392,0.622166,1.7467,5.49282,4.92338,11.779,73.7931,2.26495,-0.0323318,49.976,19.7639,5.87351,3.60536,3.96046,16.8208,0.0128589,68.1244,1.05889,0.339102,0.153556,9.7156,20.6085,214.441,229.399,16516.6,32.7365,0,38.4337,4.20999,49.2786,6.52612,1.55155,53.9097,31259
